%time,field.data
1544089964895668824,0
1544089964996503735,0
1544089965095902700,0
1544089965195113219,0
1544089965295315669,0
1544089965395547775,0
1544089965495889633,0
1544089965594970192,0
1544089965695222158,0
1544089965795444057,0
1544089965895721491,0
1544089965995906153,0
1544089966095176287,0
1544089966195334082,0
1544089966295692879,0
1544089966395797301,0
1544089966494968193,0
1544089966595884189,0
1544089966695617285,0
1544089966795818556,0
1544089966894982142,0
1544089966995245070,0
1544089967095357338,0
1544089967195564848,0
1544089967295781961,0
1544089967396084559,0
1544089967495320035,0
1544089967596090096,0
1544089967695363530,0
1544089967795804956,0
1544089967896011378,0
1544089967995344098,0
1544089968095558841,0
1544089968195735137,0
1544089968296013467,0
1544089968395142489,0
1544089968495567779,0
1544089968595656729,0
1544089968695899023,0
1544089968795078326,0
1544089968895349429,0
1544089968995763455,320
1544089969095991913,400
1544089969195518457,440
1544089969295702601,400
1544089969395759189,400
1544089969495992388,400
1544089969596261626,360
1544089969696282205,360
1544089969795492903,400
1544089969895714279,400
1544089969995881961,400
1544089970095060802,400
1544089970195244999,360
1544089970295470112,400
1544089970395653715,400
1544089970496791257,360
1544089970595619373,400
1544089970695903526,400
1544089970795638763,400
1544089970895950849,400
1544089970995190488,360
1544089971095366642,400
1544089971195528930,400
1544089971295702258,360
1544089971395919996,400
1544089971495141979,360
1544089971595350325,400
1544089971695568664,400
1544089971795779502,360
1544089971895979423,400
1544089971995176567,360
1544089972095421438,400
1544089972194941617,400
1544089972295162539,360
1544089972395327395,400
1544089972495558757,360
1544089972595782233,400
1544089972696016170,360
1544089972795204070,360
1544089972895450148,400
1544089972995729918,360
1544089973095947751,400
1544089973195188745,400
1544089973295624437,360
1544089973395874790,400
1544089973494971397,400
1544089973595165403,360
1544089973695431047,400
1544089973795609658,400
1544089973895792727,360
1544089973995975822,400
1544089974095152956,360
1544089974195450463,400
1544089974295838041,360
1544089974395140546,360
1544089974495681004,400
1544089974595761101,360
1544089974696098653,400
1544089974795456667,400
1544089974895453214,360
1544089974995668148,400
1544089975095868438,400
1544089975195150693,360
1544089975295358999,400
1544089975395561307,400
1544089975495817145,400
1544089975595945305,360
1544089975695270965,400
1544089975795409582,400
1544089975895646285,360
1544089975995825992,400
1544089976094966666,400
1544089976195158111,400
1544089976295489925,400
1544089976395657404,360
1544089976495897703,400
1544089976595235012,400
1544089976695363303,400
1544089976795598677,360
1544089976895788418,400
1544089976994968600,400
1544089977095210336,400
1544089977195353651,360
1544089977295660010,400
1544089977395884293,360
1544089977495225580,400
1544089977597548860,400
1544089977695719136,360
1544089977795891599,400
1544089977895081151,400
1544089977995783856,360
1544089978095908583,400
1544089978196038284,400
1544089978295281371,360
1544089978395512430,400
1544089978495725584,400
1544089978595902473,400
1544089978695200239,360
1544089978795365877,400
1544089978895751975,400
1544089978996023824,360
1544089979095212058,400
1544089979195330748,400
1544089979295516903,400
1544089979395757665,360
1544089979496070856,400
1544089979595317834,400
1544089979695510509,400
1544089979795931684,400
1544089979895146783,360
1544089979995411694,400
1544089980095683790,400
1544089980195907223,360
1544089980295165622,400
1544089980395389806,400
1544089980495599093,360
1544089980595806851,400
1544089980694941126,400
1544089980795207403,360
1544089980895327703,400
1544089980995475646,360
1544089981095778611,400
1544089981196034865,360
1544089981295259203,400
1544089981395508306,360
1544089981495619184,400
1544089981595845599,360
1544089981695044681,400
1544089981795346637,360
1544089981895536098,400
1544089981995790227,360
1544089982094986906,400
1544089982195236153,400
1544089982295472246,400
1544089982395637767,360
1544089982495893695,400
1544089982594962469,360
1544089982695167785,400
1544089982795438675,400
1544089982895780169,360
1544089982995867048,400
1544089983095023674,360
1544089983195410171,400
1544089983295563263,360
1544089983397488165,400
1544089983495780001,360
1544089983595951583,400
1544089983695143112,360
1544089983795328063,400
1544089983895543305,360
1544089983995740345,400
1544089984095912072,360
1544089984195162422,400
1544089984295341984,400
1544089984395595251,360
1544089984495812732,400
1544089984594949282,400
1544089984695134438,400
1544089984795325568,400
1544089984895611615,360
1544089984995831224,400
1544089985094937235,400
1544089985195139343,400
1544089985295324128,400
1544089985395730398,360
1544089985495974991,400
1544089985595174174,400
1544089985695343134,400
1544089985795604677,400
1544089985895716272,360
1544089985995909793,400
1544089986095128726,400
1544089986195347543,400
1544089986295670627,360
1544089986395886017,400
1544089986495075417,360
1544089986595357953,400
1544089986695570989,360
1544089986795696157,400
1544089986895897029,400
1544089986995129846,360
1544089987095260466,400
1544089987195489180,400
1544089987295710503,400
1544089987395911511,360
1544089987495091568,400
1544089987595293200,400
1544089987695533790,360
1544089987795752632,360
1544089987896031995,320
1544089987995180772,200
1544089988095406620,120
1544089988197007113,80
1544089988295336797,40
1544089988395457952,0
1544089988495014503,0
1544089988595953790,0
1544089988695241851,0
1544089988795513004,0
1544089988895713480,0
1544089988996037894,0
1544089989095208066,0
1544089989195575898,0
1544089989295728503,0
1544089989396024405,0
1544089989495442016,0
1544089989595694107,0
1544089989697348091,0
1544089989795863742,0
1544089989895095136,0
1544089989995317072,0
1544089990095713836,0
1544089990195807771,0
1544089990295064946,0
1544089990395212389,0
1544089990495489561,0
1544089990595729061,0
1544089990695972531,0
1544089990795147314,0
1544089990895330355,0
1544089990995541675,0
